GeneSymbol,log2FC_db_dw,pvalue,alias,Entrez
SPRED1,0.8288227,0.002567926,,296072
PELI3,-0.749179,0.002570655,RGD1305989,309157
CDO1,-0.601678,0.002577847,,81718
SLC25A32,0.49625838,0.002578091,RGD1565789,315023
SLC6A8,0.570552,0.002578091,CHOT1|CHT1|CRT|CT1,50690
ROR2,0.6379546,0.002579488,,306782
NFXL1,0.7204357,0.002600309,RGD1359201,289595
NPLOC4,0.5224384,0.002606698,Npl4,140639
SLC25A42,-0.4402367,0.002609801,,689414
MFAP2,-0.44396982,0.002639372,,313662
TTC19,0.5083155,0.002639372,RGD1311797,691506
GPATCH2,0.6533226,0.002639372,Gpatc2,289362
LEMD3,0.40933073,0.002642271,RGD1561001,680066
RFXAP,0.61888963,0.002650466,,499617
MCOLN3,1.2846128,0.002662769,,308022
PLPPR4,0.4323068,0.002678223,Lppr4|Prg-1|Prg1,295401
VPS37D,-0.67426366,0.002682377,,687208
ASUN,0.42108116,0.002704072,,690728
PDK2,-0.44153845,0.002713821,,81530
ZFP395,-0.49914,0.002722246,,305972
CLDN3,-1.327775,0.002735947,,65130
SV2C,1.3235396,0.002735947,,29643
MAFF,0.6750922,0.002736387,,366960
FKBP1A,0.31115192,0.002739557,,FKBP12|Fkbp2
ITPR3,1.1131233,0.002747432,,IP3R3|IP3R3X
CYP11B3,1.2890716,0.002758251,,CYPXIB3
ZBTB16,-1.1543972,0.002766361,,Lx|Plzf|Zfp145|Znf145
BPHL,-0.57253987,0.002774489,,361239
HNRNPF,0.6241387,0.002774495,,Hnrpf
ZFP18,0.42917475,0.002779537,,Zfp535|Zkscan6|Znf18
HPN,1.3208531,0.002788,,29135
B4GALNT4,-0.4399508,0.002813124,,RGD1310052
HERC3,-0.5670623,0.002856638,,362377
SLC30A10,0.7927553,0.002856638,,RGD1305098
SLC35B4,-0.37633476,0.002863239,,296969
ATAD3A,0.32929096,0.002863239,,Atad3
TBCK,-0.3988576,0.002872885,,RGD1307816|Tbckl
NOL3,-0.4864958,0.002873274,,Arc
NIFK,0.5546444,0.002931919,,Mki67ip
OPRK1,-1.2661084,0.002945226,,29335
LRRC75B,-0.89601713,0.002945226,,Fam211b
TBC1D25,-0.5088058,0.002945226,,Oatl1|RGD1559711
EEA1,0.5295778,0.002949305,,314764
BRINP1,0.58867437,0.002951721,,Dbc1|Dbccr1
SPTLC1,0.39000693,0.00295267,,Lcb1|RGD1306617|Spt1
ARL4D,0.7306127,0.00295267,,Arf4l
HGS,0.36550793,0.002959091,,Hrs
FAM26F,1.3035073,0.002999965,,RGD1304835
ANO6,0.74228007,0.003006419,,Tmem16f
LOC361346,0.6765565,0.003009195,,Las2
RIMS4,0.9382637,0.003045795,,Rim4gamma
PSMB11,1.047436,0.003048026,,RGD1308773
SEC24B,0.36643368,0.003058924,,295461
NMBR,1.0635699,0.00308967,,NMB-R
HNRNPU,0.44230294,0.003123493,,Hnrpu|SN1
RBPJ,0.64910966,0.003143098,,679028
WDR6,-0.50963014,0.003184359,,301007
SLC12A6,-0.7204348,0.00319381,,Kcc3
CIR1,-0.8313745,0.003194235,,1700023b02rik|Cir|RGD1309
ATRAID,-0.5178097,0.003194644,,RGD1311605
DCAKD,-0.30305466,0.003211073,,360639
DND1,1.0508786,0.003215087,,679841
LCK,-0.7098316,0.003231213,Lck1|Lcktkr,313050
NR1D1,-0.4220045,0.003231213,REV-ERBAALPHA,252917
RSRP1,-0.39317167,0.003245802,RGD1359529,362626
FBL,0.6051908,0.003247209,,292747
BBS2,-0.5848547,0.003267711,,113948
ZFP639,0.4032127,0.003267711,Znf639,683504
MRPS2,0.35226396,0.003272506,,362094
CDK18,-1.0914624,0.003274151,PCTAIRE3|Pctk3,289019
FAM222B,0.5397364,0.003284344,RGD1566149,497960
DYNC1I1,-0.30571437,0.003284492,Dnci1|Dncic1,29564
ENGASE,-0.6188538,0.003294754,RGD1310868,303702
PCBP4,-0.31813145,0.003294754,,363133
CHSY1,0.3295991,0.003300143,,292999
SCN4A,-1.1988186,0.003331173,NCHVS|Nav1.4|microI,25722
ZFP800,0.69300103,0.003331173,RGD1560157,500057
TMEM87B,0.45328468,0.003332206,RGD1307907,362212
PPP1R10,0.43675312,0.003333753,Fb19|Pnuts,65045
ZFYVE19,-0.47516018,0.003340885,,499871
FN3K,-1.18426,0.003346953,Fnsk,498034
MYCN,-0.46250296,0.003346953,N-myc|Nmuc1|Nmyc,298894
MON2,0.66772544,0.003356609,RGD1308808,314894
EMILIN3,1.0215374,0.003366859,,362262
SLC30A2,-1.2455347,0.003374921,ZnT-2|Znt2,25362
PURG,0.5889565,0.003383831,,361162
PTGIR,1.2722929,0.003413173,,292661
FSTL5,-0.35508668,0.003419268,,365823
FCHO1,-0.44358185,0.003452883,,290639
CHMP1A,-0.41559383,0.003452883,Pcoln3,365024
EMP3,1.2313905,0.003452986,,81505
RPS6KA6,0.47431427,0.00346415,RGD1560817,317203
NPAS2,0.5455637,0.00346415,,316351
SHD,-0.56852055,0.00346793,,316507
ELOVL4,0.3928217,0.003474993,,315851
HMGCL,-0.47724962,0.003477131,,79238
JUP,-0.6522347,0.003483449,,81679
MFN1,0.42748147,0.003500277,Fzo1b,192647
SLC2A8,-0.49465877,0.003501701,Glut8,85256
ZDHHC20,0.5142524,0.003510928,RGD1305755,305923
CCDC32,-0.6085224,0.003520041,Gm631,296081
ZPBP2,-1.0296645,0.003535947,,363676
FADD,0.8071368,0.003547048,Mort1,266610
FBXO30,-0.5166577,0.003554638,,308283
MTPAP,0.4852335,0.003593015,Papd1,307050
FOXP2,-0.6970624,0.003596837,,RGD1559697
LOC100125367,0.70325047,0.003596837,,C1orf74
OSCAR,1.1101156,0.003609305,,RGD1559897
KCNA4,0.64054894,0.003625348,,KCHAN|Kv1.4|Kv4|RHK1|RK
FAM129C,-0.9176881,0.00363949,,498604
NAT14,-0.5717621,0.00363949,,RGD1565991|Zfp628
SMIM17,-0.68858564,0.003641049,,RGD1559613
AKAP9,-0.52254903,0.003653498,,CG-NAP|Gisp|Yotiao
ORC2,0.6520922,0.003659118,,Orc2l
BCKDHA,-0.4117469,0.003673959,,BCKDA|E1a
RNF139,0.37509334,0.003691356,,TRC8
DNAAF5,0.6442604,0.003704938,,Heatr2
APBB3,-0.45330966,0.003707689,,Fe65l2
TYMS,0.58960056,0.003712491,,29261
PXYLP1,-0.49903175,0.003724332,,Acpl2
DTX2,0.49222773,0.003763813,,304591
ZFAND6,-0.3773252,0.003771226,,Za20d3|zgc:101121
REEP2,-0.35044065,0.003773972,,682105
N4BP3,-0.7732296,0.003786323,,C330016o10rik|RGD1308356
CCDC28B,-0.6469193,0.003786323,,682445
RPS6KB2,0.38501665,0.003795693,,361696
RGS14,-0.69307476,0.003797186,,114705
PUS7,0.67190504,0.003797186,,RGD1307054
RANGAP1,0.41167435,0.003804426,,362965
LRCH1,0.58920455,0.003804426,,502020
TENM3,-0.6950083,0.003808736,,Odz3
TFAP4,-0.67507505,0.003827042,,Tcfap4
TBK1,0.40808332,0.003830434,,299827
TMEM223,-0.5691301,0.003839845,,690285
IFT81,-0.6005608,0.003870222,,Cdv-1|Cdv1
ITSN1,0.6095012,0.003875809,,Itsn
FOXO3,-0.89672095,0.003884692,,Fkhrl1|Foxo3a
PPP4R3A,0.38124272,0.003885117,,RGD1309059|Smek1
CSRP2,-0.6035509,0.003912169,,SmLIM
RGD1308147,0.37867263,0.003940911,,307008
WNT9A,-0.85681874,0.003952992,,287357
POLR3E,0.34231988,0.003956293,,RGD1308086
TBC1D14,-0.4229025,0.003971899,,SRF-2|UR-NR#2
NCS1,0.49619532,0.003984428,,Freq
KTI12,0.5730082,0.003994137,,685656
NRSN2,-0.8531885,0.003997315,,689978
CISD2,0.42032087,0.004040704,,RGD1566242
RHOQ,0.6162784,0.004042533,,Tc10
SDE2,0.3299553,0.004044133,RGD1305572,289315
PHOSPHO2,0.3698227,0.004055211,,295663
BNIP3L,-0.42774191,0.004081985,Nix,140923
RBBP7,0.4944776,0.004090612,,83712
GRIN3B,0.5486226,0.004097416,GluN3B|NMDAR3B|NR3B,170796
GEMIN5,0.62930375,0.004097416,,691231
CDC16,0.28580996,0.004109758,,290875
GPATCH11,0.39006427,0.004110932,Ccdc75|RGD1311424,362685
SLC5A4,-1.2244954,0.00411264,Slc5a4a,294341
RGD1564804,-0.6460024,0.004115207,,313551
FN3KRP,-0.46802858,0.004123667,RGD1304570,303755
UBE2F,0.41229182,0.004123667,RGD1307608,363284
AMZ2,-0.40870693,0.004130729,RGD1304846,360650
SLC9B2,-0.7989277,0.004135514,Nhedc2,679958
SUN1,0.59840167,0.004141931,Unc84a,360773
SLC25A39,-0.4051778,0.004168978,RGD1306193,360636
ATF1,0.51113796,0.004168978,Atf-1,315305
SPATA5L1,0.5796718,0.004168978,,691729
IDH1,-0.4401083,0.004169217,,24479
UBE2D3,0.3849438,0.004222871,,81920
EML1,-0.66444993,0.004228776,,362783
PRPF18,-0.37852702,0.004251674,KCRF|Pprf18,171552
ACSL1,0.34920642,0.004251674,ACS|Acas|COAA|Facl2,25288
LAMC1,0.7354476,0.004274136,B2e,117036
NAPEPLD,0.77145904,0.004277008,NAPE-PLD,296757
DDX52,0.5531235,0.004299835,Rok1,85432
ULK2,-0.33573863,0.004315719,,303206
SH3GLB1,0.4935133,0.004339478,,292156
CEBPG,0.5350657,0.004339478,C/EBP|CEBPRNA,25301
ABHD8,-0.7104634,0.004342752,,306338
SYT6,0.79413813,0.004346998,,60565
RECK,0.7344724,0.004355526,,313488
MPLKIP,0.4674159,0.004360512,,684996
PCDHA10,-0.61110485,0.004377054,rCNRv10,116778
ELK3,0.551439,0.004377054,,362871
NEPRO,0.6178104,0.004377054,RGD1311458,303948
SLC5A3,1.0699618,0.004377054,Smit,114507
TUBB4B,0.28440395,0.004377083,Tubb2|Tubb2c,296554
PLEKHA4,-0.593785,0.004413514,,308584
MCMBP,0.49211955,0.004427683,MCM-BP|RGD1306730,309009
TJP3,-0.85026395,0.00444724,,314640
UXS1,0.37348494,0.004454902,UGD,246232
VWC2,0.865909,0.004454902,,501231
MEPCE,-0.39203325,0.004465452,,304361
CSTF2,0.29538757,0.004491416,,683927
FUNDC1,-0.5906039,0.004509994,,363442
CUL3,0.36666733,0.004511394,,301555
ALKBH1,0.41555202,0.004555387,Alkbh,362766
CEP85L,0.7712387,0.004556595,,100365935
THBS2,1.1592374,0.004579172,TSP-2,292406
CCDC71,-0.5524986,0.0045851,,498678
PRTN3,-0.91662306,0.004593573,,314615
TUBA4A,0.42560843,0.004598877,Tuba4,316531
TSPAN17,-0.51210874,0.004600765,Fbxo23|GHB-R,306771
TMEM202,1.0555767,0.004626515,,691306
RHOA,0.49570227,0.004637632,Arha|Arha2,117273
GNE,0.51726013,0.004663155,Uae1,114711
ALKBH2,-0.8614533,0.004668592,RGD1306377,304578
KDM4A,-0.49764067,0.004688337,Jmjd2a,313539
HNRNPH1,0.46152624,0.004688713,Hnrph|Hnrph1,140931
PAX1,1.1155308,0.00469122,Pax-1,311505
TUBG1,-0.47636124,0.004773877,,252921
NFYA,0.48423356,0.004798219,CBF-A,29508
PRKAA1,0.3957278,0.004844106,AMPKalpha1,65248
POLD1,0.49632335,0.004845094,,59294
CNNM2,-0.65561235,0.004852129,,294014
AKAP5,-0.8019565,0.00488042,AKAP150|Akap79|P150,171026
RNF145,-0.44215265,0.004890411,RGD1309561,287212
COMMD7,-0.49026376,0.004907491,,296285
GAR1,0.56295294,0.004907491,Nola1,499709
NTRK3,0.7086573,0.004907491,trkC,29613
SMYD5,-0.3803803,0.004916756,,312503
PCDHA5,-0.5710929,0.004936068,rCNRv05,393087
FIG4,-0.4024622,0.004944686,Kiaa0274|RGD1311375|Sac3,309855
42802,-0.4099952,0.00495365,Mir,312656
MZF1,-0.408548,0.004959129,Zfp98,361508
PPP1R1A,0.6349888,0.004966796,,58977
PEAK1,1.2385699,0.00496826,RGD1312026,315686
RNF167,-0.35393977,0.00497668,RGD1305972,360554
PPP3CC,-0.38419008,0.004986884,,171378
TRPC4,-0.5223144,0.005011922,Trp4|Trrp4,84494
NAP1L3,-0.72873604,0.005018402,,170914
CHST10,0.52101976,0.005029481,Hnk-1st,140568
RPAP2,-0.4148779,0.005081292,RGD1309034,305120
F2R,0.36301935,0.005097748,Par1|TRGPC,25439
TTC14,0.639218,0.005097748,,310314
GAS7,-0.5019012,0.00510623,,85246
SDK2,1.196949,0.005116664,,360652
SPDYA,-0.76542056,0.005124109,Gs4|Lm23|Spdy1|Spy1,192209
BOK,-0.701874,0.005136154,Bok-BH3,29884
EMC9,-0.8998065,0.005136166,Fam158a|RGD1308113,290224
TMPO,0.32697394,0.005138164,LAP2,25359
KCNK1,0.36667544,0.005139695,Twik,59324
TERF1,0.5834361,0.005147464,,297758
TGIF1,0.6937128,0.005147464,Tfig|Tgif,316742
HPGD,1.1811209,0.005147464,,79242
FJX1,0.5376544,0.005156112,,366140
CDC25B,-0.48590094,0.005168988,,171103
SVOP,-0.60297906,0.005182482,,171442
HEMK1,-0.5954756,0.005182482,RGD1308293,300989
ZDHHC5,0.6428169,0.005216695,DHHC-5,362156
RCOR1,0.44634447,0.005250085,RGD1305743,102554884
IL1RL2,1.1775132,0.005268157,,171106
NASP,0.58709365,0.005275937,,298441
FBXL6,-0.5333863,0.005339098,,362941
MED8,0.45743755,0.005354017,,362575
SOBP,-0.631317,0.005394171,RGD1560479|Sobpl|jcx1,309860
LOC361635,-0.35061666,0.005394371,,361635
CDCA4,0.38979167,0.005422936,,500727
FZR1,-0.509077,0.005477336,,314642
MELTF,-1.0656476,0.005504429,Magea1|Mfi2,288038
FAM220A,-0.41932482,0.005504429,Sipar,498145
CCDC93,0.5447762,0.005507648,,304743
TFDP1,0.34993988,0.005546859,,361178
GLRX,-0.48387155,0.005596032,Glrx1|Grx,64045
KIF3B,-0.31642193,0.005596032,,296284
ASCC3,0.49893677,0.005650464,Helic1,309887
PPFIA4,-0.76504517,0.005665115,,140592
ISG20L2,0.7826963,0.005676423,,361977
TNRC6B,-0.6648719,0.005709778,Cbl27,192178
TNFRSF25,1.0643183,0.005733798,,500592
TMEM141,-0.6813307,0.005735843,RGD1561492,499755
WNT4,0.8826062,0.005740115,,84426
CLN5,0.60114914,0.005746855,,306128
WDR3,0.3375209,0.005779792,,310720
ABTB1,-0.6536297,0.005859064,,297432
ERI2,0.51821464,0.005869466,Exod1,691484
PIGM,0.56453097,0.005895754,GPI-MT-I,79112
CORO1C,0.5309538,0.005907807,RGD1564490,501841
PKDCC,0.49999848,0.005909331,RGD1311939|Sgk493,313860
RGD1307315,-0.4464015,0.00591617,,362793
MSANTD3,0.42342773,0.005918904,RGD1308165,362516
EPHA2,1.0286369,0.005919148,,366492
FBXO31,-0.6204082,0.005923453,RGD1561069,498959
MAGED2,-0.35522595,0.005938329,,113947
AKAP12,0.4540927,0.005938329,AKAP12A|AKAP12B|AKAP12,83425
ACVR1B,-0.52200156,0.005945652,Skr2,29381
CNTN3,-0.86453986,0.005964303,BIG-1|Pang,54279
YPEL2,-0.9454961,0.00598012,,RGD1311564
MSL3L2,0.7059998,0.005988806,RGD1308699,309790
PRR13,-0.40907007,0.006000093,RGD1307129,363004
FAM129B,0.54152995,0.006012125,RGD1307018,362115
NR2F6,0.46301594,0.006019252,,245980
SLC35F5,-0.36386016,0.006063604,,288993
NOV,-0.5798898,0.006083168,,81526
ASIC1,-0.42842707,0.006100501,Accn2,79123
SVBP,-0.8070299,0.006107451,Ccdc23|RGD1311232,362578
NABP1,0.7346499,0.006111566,Obfc2a|RGD1306658,363227
TMEM205,-0.6299742,0.006129767,RGD1563250,300441
NAT10,0.37204736,0.006133545,RGD1306717,311257
CANT1,-0.5045032,0.006144266,srapy,246272
RNF180,-0.37024853,0.006163667,,685384
CISD3,-0.6918637,0.006166389,Mel13|RGD1559720,287661
IPO7,0.39745855,0.006166389,,308939
DFNB31,0.5800239,0.006166389,Cip98|Whrn,313255
PACSIN2,0.63012505,0.006166389,SdpII,124461
EPRS,0.5938935,0.006239232,,289352
AP4B1,-0.3710514,0.006244707,,310746
TRANK1,0.74175256,0.006244707,RGD1563130,316022
AGFG2,-0.5693147,0.006261388,Hrbl,304375
SAMHD1,0.49654856,0.006312627,,311580
SAMD5,0.8477639,0.006338316,RGD1311012,365038
LIG4,0.66022676,0.006354985,,290907
LRRFIP1,0.3652048,0.006383461,,367314
RAB2B,-0.3584162,0.006421351,,305853
TAF2,0.30742243,0.006444161,TAFIIB,170844
SYT12,0.75857925,0.006454528,Srg1,191595
ATG4C,-0.42357612,0.006478442,,313391
VGLL4,0.35816586,0.006478442,,297523
AQP11,-0.61925507,0.006514886,,286758
NARS,0.44664752,0.006528283,LRRGT00113,291556
IGFBPL1,-0.6693971,0.006588765,,366366
INO80C,-0.36147293,0.006594931,RGD1310199,291737
TACR1,-1.0150286,0.006642334,Tac1r,24807
LENG8,0.5379686,0.006642334,,361506
FRAS1,1.1956491,0.006642334,,289486
NRAP,-0.94512296,0.006742248,,307982
RAI2,-0.4963332,0.006761554,RGD1560139,501555
ATP5S,-0.8233238,0.006810316,,362749
CNR1,-0.59843177,0.006857776,SKR6R,25248
FGF8,1.2183199,0.00687262,,29349
PEX14,-0.43377188,0.006914046,,64460
CDC42EP2,-0.8827879,0.006927021,,309175
KCTD15,-0.39976555,0.006962657,,499129
BAMBI,-0.64160264,0.006993972,,83837
TIMP4,0.61468256,0.006993972,,680130
TARBP2,-0.3733423,0.007031335,,363006
HMG20A,-0.3441888,0.007074592,RGD1564760,315689
TMEM114,1.1656243,0.007099612,RGD1560593,501675
KCNE2,-0.7082734,0.007102726,Mirp1,171138
BEND5,-0.6119894,0.007102726,,362564
MMS19,-0.3799196,0.007102726,Mms19l,171124
PARD6B,0.4408882,0.007102726,,362279
RGD1310769,-0.47779393,0.007161525,,299207
RBAK,0.40330344,0.007161525,RGD1562875,288489
WDR4,0.66925246,0.007161525,,690032
NECAB3,-0.8259294,0.007169013,Apba2bp,311562
MRPL34,-0.7356181,0.007183372,,290632
DTX3,-0.41688272,0.00719039,,RGD1566181
FRY,-0.8267952,0.007203703,RGD1307034,304244
LDB1,-0.3872721,0.007323738,,309447
NR0B1,1.0694661,0.007323738,Ahch|DAX-1,58850
DEAF1,-0.55294883,0.007333743,NUDR,83632
TARDBP,0.3015849,0.007337708,Tdp-43,298648
ATG10,-0.7369567,0.007339263,,688555
ARL4A,0.5981951,0.007339263,Arl4,29308
TDRD6,-1.1833401,0.007401314,,316254
TMEM106B,-0.30082932,0.007401314,LRRGT00101,312132
PCDH7,0.76379704,0.007401314,,360942
CDK5RAP1,-0.53716445,0.007436976,,252827
SNRPA,0.3253762,0.007436976,,292729
SLC43A1,0.850067,0.007438363,,311168
TMEM178A,0.5657237,0.007500956,Tmem178,362691
TES,0.5907334,0.007521784,,500040
TRAPPC4,-0.64285696,0.007616847,Sbdn,367073
TOP1MT,-0.59850335,0.007637879,,300029
CBLN1,-0.61230785,0.007648109,,498922
HIBCH,-0.42652848,0.007669291,,301384
CRY2,0.55243105,0.00776325,,170917
CBLN4,-0.76772314,0.007824593,,499947
FRA10AC1                  -0.6739591   0.007824593 RGD1309482                                     365458,,,,
LRRC7,0.74293244,0.007852638,,117284
NHLH2,-0.99175644,0.007871,,295327
PHYHD1,0.6154232,0.007871,,296621
ATXN2L,0.67690605,0.007871434,RGD1565868,361649
WDR5,0.3201417,0.007872803,,362093
VARS2,-0.37360045,0.007873848,Vars2l|Varsl,309596
HRH1,0.7724292,0.007873848,Hisr,24448
PLXNA2,0.79055667,0.007896097,,289392
RNGTT,-0.30786905,0.007917888,,313131
ATG13,-0.5128015,0.007935271,Harbi1|Harbi1l|RGD1310685,362164
DEF6,-1.148882,0.007943125,,309642
SLC9A5,0.49069187,0.007967993,Nhe5,192215
TMEM55B,-0.39198777,0.008072576,RGD1307475,364298
SARS,0.39547387,0.008072576,Sars1,266975
OLIG2,0.36800122,0.008075546,,304103
BCOR,0.44199145,0.008079262,RGD1562735,317346
MFSD3,-0.58512545,0.008091276,,500899
IWS1,0.46569702,0.008118515,RGD1304762,291705
ST8SIA4,-0.7798197,0.008123681,Siat8d,116696
RBM46,-0.7862903,0.008132804,RGD1560205,310548
RGD1311188,0.5532214,0.008146983,,315088
CYR61,0.95583934,0.008146983,,83476
SGMS1,0.44758293,0.008148881,Mob|Tmem23,353229
SLCO1C1,0.6127385,0.008177418,Bsat1|Oatp14|Slc21a14,84511
DPF1,-0.58634126,0.008184612,Neud4,50545
RIOK3,0.3015605,0.008250138,,361293
PTPRH,-0.9853315,0.008254619,Bem2,171125
DUOX1,1.0812548,0.008254619,,266807
RGS9,-0.7473781,0.008289885,,29481
COQ10A,-0.4284515,0.008343717,RGD1562447,362810
ANKEF1,1.2020665,0.008350425,Ankrd5,296184
PJA2,-0.35182375,0.008373673,Neurodap1|praja2,192256
ST3GAL2,-0.54038936,0.008385118,Siat4b|Siat5,64442
C1QL1,0.43491355,0.008396974,,363686
SMOX,0.34669903,0.008435047,,308652
PIH1D1,-0.47758472,0.008503411,RGD1309809,292898
WLS,0.37792286,0.008532126,Gpr177,362065
TMF1,0.63926774,0.008532126,,114206
TTC33,-0.42918146,0.008553218,RGD1564042,294774
KEAP1,-0.48125336,0.008556129,Inrf2,117519
RASGRF1,-0.44856116,0.008556129,,192213
KPNB1,0.56883645,0.008556129,Impnb,24917
CUL4A,-0.3229395,0.008583327,RGD1563853,361181
GALNT3,-0.77247727,0.008656305,,366061
PRPSAP2,-0.40071207,0.008660885,Pap41,117272
CCDC40,-0.65257496,0.008794177,,287867
CFAP97,-0.57325876,0.008794177,RGD1307325,306469
NFKB1,0.59376323,0.008794177,EBP-1|NF-kB,81736
ZFP189,0.6014152,0.008794177,,313219
EFNA5,0.8253024,0.008794177,Lerk7,116683
IL11,-0.8465593,0.008835731,Il-11,171040
BANP,-0.35008252,0.008862481,,292064
FSCN1,0.5502662,0.008885613,Fascin,683788
ELAC2,0.37857094,0.00893575,,282826
LMBR1L,-0.5199525,0.009033621,RGD1309631,300215
HERPUD2,-0.53365934,0.009096939,RGD1307343,300463
MAPK1IP1,-0.50829536,0.009096939,RGD1565431,499280
GNL3,0.5454993,0.009097274,Ns,290556
KCNK13,1.0015669,0.009097274,THIK-1|prdx1,64120
KLF13,-0.5957496,0.009102651,RGD1565099,499171
LZTFL1,-0.57112455,0.009116273,,316102
XKR7,1.15487,0.009132666,,311549
BTG4,-1.0542605,0.009133044,SCIR-27,315650
FLOT1,-0.57301366,0.009232132,Rareg,64665
WDR77,0.35151115,0.009239938,Ac2-269|MEP-50|RGD13104,310769
NPY,0.94925565,0.009372319,NPY02|RATNPY|RATNPY02,24604
PPP1R1B,0.43043384,0.009427398,Darpp-32|Darpp32,360616
ELF3,-1.1831183,0.009427593,,304815
KATNB1,-0.4570654,0.009427593,,291852
SGCA,0.9726473,0.009429377,,303468
ZC3H11A,0.73905,0.009568936,RGD1308290,360845
KCNK5,0.898048,0.009568936,TASK2,364241
CDK8,0.34470317,0.009589051,RGD1560888,498140
ASCC1,-0.4827921,0.009596734,Asc-1|CGI-18,294512
CFB,0.99190015,0.009596734,Bf|Da1-24,294257
CDK2AP2,-0.44704607,0.009633761,,688405
USP13,0.3351111,0.009750959,,310306
BZW1,0.4769006,0.009750959,,363232
RASA1,0.46877527,0.009786127,GAPX|Rasa,25676
MAK16,0.60697174,0.0098085,RGD1311297|Rbm13,306526
INTS12,0.40871048,0.009844609,Phf22,295448
RAB27B,0.7839486,0.009873074,,84590
MSRB1,-0.37079212,0.00987861,Sepx1|selX,685059
MAP3K12,-0.36958146,0.009950466,DLK|MUK|PK|Zpk,25579
PDE3B,0.55044544,0.009950466,,29516
VAV3,0.66234994,0.009977018,RGD1565941,295378
TMPRSS6,1.0566071,0.009998485,,315388
HSCB,-0.53802866,0.010015708,RGD1311005,360826
TTC39C,0.5109129,0.010026858,,686179
NOTCH4,-0.5388284,0.010029635,,406162
RPS6KA3,0.7044436,0.010052121,RGD1563860,501560
GNA11,0.5249587,0.010080943,,81662
PVRL1,0.6996072,0.010245699,HveC|Pvrl1|nectin-1,192183
PBX1,-0.7391616,0.010258959,,304947
TBP,0.43738207,0.010327858,TFIID,117526
TMEM229B,-0.5321619,0.010432375,RGD1562622,503035
HINT3,-0.47867116,0.010432375,HINT-3|HINT-4|Hint4,246769
MET,0.7387908,0.01045371,Hgfr,24553
HBP1,-0.462579,0.010578232,Hmgb1,27080
BMS1,0.4483293,0.01058447,Bms1l,362426
POLDIP2,-0.2770717,0.01068762,,287544
CDK12,0.72352934,0.01068762,Crk7|Crkrs|Pksc,192350
GLDN,0.7637601,0.010722259,Colm|Crgl2,315675
SDHC,-0.27536422,0.010724688,,289217
AFAP1L1,0.7564462,0.010724688,RGD1311580,291565
BFAR,-0.32794145,0.010738542,,304709
KMT5A,0.734331,0.010748866,Pr-set7|RGD1305893|Setd8,689820
ERBB3,0.7934279,0.010816959,nuc-ErbB3,29496
RAB43,0.8154377,0.010816959,,500249
MYBL1,0.7658934,0.010897748,,297783
JAKMIP3,-0.56649476,0.010920779,Necc2|RGD1307177,365380
PHRF1,0.45779696,0.010951469,,245925
MRVI1,1.1131667,0.010966362,,308899
COMTD1,-0.38202608,0.010984688,,305685
RIOK2,0.51462376,0.010996142,,308201
PCGF5,0.7161094,0.011064585,,681178
PRRT2,-0.5121309,0.011066943,DSPB3|RGD1564195,361651
HDAC9,-0.72362775,0.011070985,RGD1310748|RGD1563092,687001
XRCC5,-0.4033135,0.011080731,Ku80|Kup80,363247
HPCAL1,-0.5157591,0.011088899,NVP-3|Nvp3|VILIP-3,50871
BMF,-0.83336586,0.011220546,,246142
DDX39A,0.40229562,0.011228486,Ddx39|Ddxl,89827
LMO4,-0.76822114,0.011260265,,362051
DDX56,0.33297938,0.011277332,Ddx21|RH-II/Gu,289780
PTBP1,0.5902062,0.01129836,PTB1|Ptb|Pybp|Pybp1|Pybp,29497
METTL18,0.68845814,0.011364142,RGD1306783,304928
GOLPH3L,-0.35808986,0.011370461,,310669
SRPRA,0.31458172,0.011376195,Srpr,315548
TRPC3,-0.5177324,0.011378234,TrpC3c|Trrp3,60395
ANKRD34C,1.1576787,0.011426149,RGD1305403,300889
CCDC148,-0.6401252,0.011467871,RGD1561169,311051
G3BP1,0.29962832,0.011478704,G3bp|RGD1310666,171092
HSPB11,-0.645847,0.011492399,,685284
SLC19A2,0.44552222,0.011543294,,289175
TRMT12,0.47362167,0.011628785,RGD1307127,314999
GRIP1,0.5774581,0.011628785,,84016
FNDC1,0.82207674,0.011628785,,308099
SLC39A6,0.297998,0.011633094,,291733
DCAF10,0.5334191,0.011633094,RGD1304730|Wdr32,313242
DDI2,0.62694544,0.011633094,RGD1311815,313668
BANK1,-1.1293828,0.01166602,,LRRGT00104
PNKD,-0.36677125,0.011666717,Mr-1,100188944
SNX16,0.35181302,0.011668363,,64088
LOC363337,0.9969346,0.011669235,,363337
ANAPC7,-0.29959714,0.011677975,,304490
CDV3,0.5922145,0.011718756,,315970
ARHGAP25,0.9579346,0.011726267,RGD1562105,500246
PLOD3,0.3947694,0.011803632,,288583
TEKT2,-0.93230605,0.011809778,,298532
SRRM3,-0.4555189,0.011809778,RGD1307391,685890
MOSPD3,-0.51183414,0.011891845,,288557
RAD51,0.44940814,0.01191205,,RGD1563603
PARD6A,-0.63022274,0.011914798,,Par-6a|Par6a
SMIM20,-0.5709944,0.011914798,,RGD1565192
GTF2IRD1,-0.46814457,0.011914798,,Gtf3
ARHGEF7,0.43864736,0.011914798,,P85spr|Pak3bp
LFNG,0.44454327,0.011976814,,170905
RGD1309028,-0.6242827,0.012039031,,299265
